OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
186,An establishment where a range of fuel products can be purchased by motorists,Caltex Redcliffe,Caltex,Cnr Victoria and Anzac Avenue,Redcliffe,Queensland,-27.229526,153.102245
187,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Margate,Caltex,9-11 Oxley Street,Margate,Queensland,-27.244405,153.109111
188,An establishment where a range of fuel products can be purchased by motorists,Caltex Tenterfield,Caltex,69 Rouse Street,Tenterfield,New South Wales,-29.06492,152.017007
189,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Glen Innes,Caltex,150-152 Taylor Street,Glen Innes,New South Wales,-29.733315,151.739251
190,An establishment where a range of fuel products can be purchased by motorists,Caltex Glen Innes,Caltex,140-142 Meade Street,Glen Innes,New South Wales,-29.736974,151.737899
191,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Kempsey,Caltex,77 Smith Street,Kempsey,New South Wales,-31.07777,152.843047
192,An establishment where a range of fuel products can be purchased by motorists,Caltex Kempsey,Caltex,100 Belgrave Street,Kempsey,New South Wales,-31.080398,152.838101
193,An establishment where a range of fuel products can be purchased by motorists,Caltex Kempsey South,Caltex,52 Lachlan Street,South Kempsey,New South Wales,-31.093523,152.837082
194,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Ellenbrook,Caltex,7 Louisa Grove,Ellenbrook,Western Australia,-31.780868,115.969142
195,An establishment where a range of fuel products can be purchased by motorists,Caltex Wangara,Caltex,Hartman Drive and Ocean Reef Road,Wangara,Western Australia,-31.787619,115.828289
196,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Hillarys,Caltex,Whitfords Avenue and Endeavour Road,Hillarys,Western Australia,-31.796644,115.745626
197,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Kingsley,Caltex,86 Kingsley Drive,Kingsley,Western Australia,-31.806959,115.788817
198,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Madeley,Caltex,Hepburn Avenue,Madeley,Western Australia,-31.819185,115.825818
199,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Greenwood,Caltex,37 Canham Way,Greenwood,Western Australia,-31.821856,115.820446
200,An establishment where a range of fuel products can be purchased by motorists,Caltex West Swan,Caltex,6639 West Swan Road,West Swan,Western Australia,-31.839008,115.990601
201,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Carine,Caltex,502 Beach Road,Carine,Western Australia,-31.846344,115.795453
202,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Ballajura,Caltex,9-11 Hamelin Drive,Ballajura,Western Australia,-31.847595,115.907042
203,An establishment where a range of fuel products can be purchased by motorists,Caltex Malaga,Caltex,1 Capital Road,Malaga,Western Australia,-31.848171,115.878516
204,An establishment where a range of fuel products can be purchased by motorists,Caltex North Malaga,Caltex,1896 Beach Road,Malaga,Western Australia,-31.852953,115.882115
205,An establishment where a range of fuel products can be purchased by motorists,Caltex Balcatta,Caltex,229 Balcatta Road,Balcatta,Western Australia,-31.86256705,115.8190833
206,An establishment where a range of fuel products can be purchased by motorists,Caltex Stratton,Caltex,240 Toodyay Road,Stratton,Western Australia,-31.865645,116.032791
207,An establishment where a range of fuel products can be purchased by motorists,Caltex Westminster,Caltex,436 Wanneroo Road,Westminster,Western Australia,-31.867633,115.829866
208,An establishment where a range of fuel products can be purchased by motorists,Caltex Beechboro,Caltex,495 Beechboro Road North,Beechboro,Western Australia,-31.868932,115.924298
209,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Beechboro,Caltex,159 Altone Road,Beechboro,Western Australia,-31.871196,115.945106
210,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Northlands,Caltex,393 Wanneroo Road,Balcatta,Western Australia,-31.87254,115.830941
211,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Mirrabooka,Caltex,53 Yirrigan Drive,Mirrabooka,Western Australia,-31.87354,115.861237
212,An establishment where a range of fuel products can be purchased by motorists,Caltex Morley,Caltex,298 Benara Road,Morley,Western Australia,-31.875947,115.925393
213,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Karrinyup,Caltex,490 Karrinyup Road,Gwelup,Western Australia,-31.882033,115.796196
214,An establishment where a range of fuel products can be purchased by motorists,Caltex Swan View,Caltex,307 Morrison Road,Swan View,Western Australia,-31.885682,116.042123
215,An establishment where a range of fuel products can be purchased by motorists,Caltex Scarborough,Caltex,74 Scarborough Beach Road,Scarborough,Western Australia,-31.893899,115.764511
216,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Midvale,Caltex,375 Great Eastern Highway,Midvale,Western Australia,-31.894586,116.031107
217,An establishment where a range of fuel products can be purchased by motorists,Caltex Dianella,Caltex,372 Grand Promenade,Dianella,Western Australia,-31.895572,115.870441
218,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Morley,Caltex,232 Walter Road West,Morley,Western Australia,-31.896296,115.895081
219,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Dianella,Caltex,360 Grand Promenade,Dianella,Western Australia,-31.896597,115.871649
220,An establishment where a range of fuel products can be purchased by motorists,Caltex Mundaring,Independent Fuel Supplies,5895 Great Eastern Highway,Mundaring,Western Australia,-31.900612,116.152074
221,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Bassendean,Caltex,309 Guildford Road,Bassendean,Western Australia,-31.90118,115.95921
222,An establishment where a range of fuel products can be purchased by motorists,Caltex Doubleview,Caltex,365 Scarborough Beach Road,Innaloo,Western Australia,-31.901431,115.794037
223,An establishment where a range of fuel products can be purchased by motorists,Caltex Glen Forrest,Caltex,1400 Great Eastern Highway,Glen Forrest,Western Australia,-31.903435,116.104698
224,An establishment where a range of fuel products can be purchased by motorists,Caltex Osborne Park,Caltex,6 Main Street,Osborne Park,Western Australia,-31.913652,115.828517
225,An establishment where a range of fuel products can be purchased by motorists,Caltex Glendalough,Caltex,2 Jon Sanders Drive,Glendalough,Western Australia,-31.922328,115.819641
226,An establishment where a range of fuel products can be purchased by motorists,Caltex Mount Lawley,Caltex,812 Beaufort Street,Mount Lawley,Western Australia,-31.925252,115.881851
227,An establishment where a range of fuel products can be purchased by motorists,Independent Domestic Precinct Perth Airport,Independent Fuel Supplies,130 Fauntleroy Avenue,Perth Airport,Western Australia,-31.930868,115.957342
228,An establishment where a range of fuel products can be purchased by motorists,Caltex Leederville,Caltex,317-321 Vincent Street,Leederville,Western Australia,-31.936651,115.84012
229,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Floreat,Caltex,99 The Boulevard,Floreat,Western Australia,-31.936694,115.793889
230,An establishment where a range of fuel products can be purchased by motorists,Caltex Belmont,Caltex,303 Great Eastern Highway,Belmont,Western Australia,-31.937678,115.933225
231,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Highgate,Caltex,342 Beaufort Street,Perth,Western Australia,-31.942544,115.867524
232,An establishment where a range of fuel products can be purchased by motorists,Caltex East Perth,Caltex,157 Lord Street,Perth,Western Australia,-31.948521,115.869412
233,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Subiaco,Caltex,231 Bagot Road,Subiaco,Western Australia,-31.950694,115.824279
234,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Rivervale,Caltex,115 Great Eastern Highway,Rivervale,Western Australia,-31.953598,115.913658
235,An establishment where a range of fuel products can be purchased by motorists,Caltex Perth,Caltex,141 Wellington Street,East Perth,Western Australia,-31.95545,115.869933
236,An establishment where a range of fuel products can be purchased by motorists,Caltex Nedlands,Caltex,Stirling Highway and  Broadway,Nedlands,Western Australia,-31.977663,115.813626
237,An establishment where a range of fuel products can be purchased by motorists,Caltex Kewdale,Caltex,2 Fenton Street,Kewdale,Western Australia,-31.983511,115.956034
238,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Forrestfield,Caltex,78 Hale Road,Forrestfield,Western Australia,-31.98801,116.008525
239,An establishment where a range of fuel products can be purchased by motorists,Ampol Welshpool,Caltex,115 Kurnall Road,Welshpool,Western Australia,-31.99027591,115.9624469
240,An establishment where a range of fuel products can be purchased by motorists,Caltex Applecross,Caltex,918 Canning Highway,Applecross,Western Australia,-32.011444,115.850947
241,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Mosman Park,Caltex,676-680 Stirling Highway,Mosman Park,Western Australia,-32.012022,115.755629
242,An establishment where a range of fuel products can be purchased by motorists,Caltex Bentley,Caltex,46 Wyong Road,Bentley,Western Australia,-32.01217,115.914205
243,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Cannington,Caltex,1344 Albany Highway,Cannington,Western Australia,-32.017526,115.934931
244,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Beckenham,Caltex,63 William Street,Beckenham,Western Australia,-32.022113,115.954792
245,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Melville,Caltex,587-589 Canning Highway,Alfred Cove,Western Australia,-32.031329,115.815272
246,An establishment where a range of fuel products can be purchased by motorists,Caltex Maddington,Caltex,Kelvin Road and Orchard Road,Maddington,Western Australia,-32.03501,115.999172
247,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Riverton,Caltex,268 High Road,Riverton,Western Australia,-32.038394,115.896712
248,An establishment where a range of fuel products can be purchased by motorists,Caltex Fremantle East,Caltex,180 Canning Highway,East Fremantle,Western Australia,-32.040661,115.766357
249,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Maddington,Caltex,76-78 Attfield Street,Maddington,Western Australia,-32.053162,115.980652
250,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths O'Connor,Caltex,308 Streetock Road,O'Connor,Western Australia,-32.055345,115.7932
251,An establishment where a range of fuel products can be purchased by motorists,Caltex Thornlie,Caltex,316 Spencer Road,Thornlie,Western Australia,-32.055854,115.961982
252,An establishment where a range of fuel products can be purchased by motorists,Caltex Thornlie,Caltex,219 Yale Road,Thornlie,Western Australia,-32.061096,115.939099
253,An establishment where a range of fuel products can be purchased by motorists,Caltex Canning Vale,Caltex,60-62 Bannister Road,Canning Vale,Western Australia,-32.063287,115.92634
